"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","segments"
1061.079,217.660676779755,339.33,46.096,600.904,91.631,89,1,2,3,1,0,0,0,0,0,1
1062.829,91.372,477.854,14.195,291.278,6.299,41,1,1,1,1,0,0,0,0,0,1
1334.857,268.144728790695,338.9615,16.458,342.836,-1.878,49,1,2,4,2,0,0,0,0,0,2
1378.081,355.324,594.241,18.577,168.003,19.501,37,1,0,1,2,0,0,0,0,0,2
1402.432,511.384582700409,339.113,52.098,322.447,-57.684,81,1,2,5,3,0,4,537.905,339.113,68.4899129240378,2
1406.15,537.828,404.564526683997,35.694,696.332,7.799,107,1,3,2,3,4,0,537.828,342.803,6.03471130220447,2
1852.616,452.596,599.535,118.865,495.042,110.39,151,1,0,8,4,0,0,0,0,0,3
1870.032,509.010179855356,345.0595,39.343,187.897,-1.15,62,1,2,10,4,0,4,530.77,345.0595,74.7149397607465,3
2330.196,374.048,592.407,219.033,640.777,183.101,209,1,0,10,5,0,0,0,0,0,4
2343.34,167.951966146548,336.3935,106.785,729.798,118.602,162,1,2,12,6,0,0,0,0,0,4
2349.309,508.564160658523,336.2065,47.799,143.426,-15.337,68,1,2,13,5,0,4,527.289,336.2065,90.5179035938716,4
2353.973,77.2775,435.187,58.026,412.397,61.735,75,1,1,12,6,0,0,0,0,0,4
2367.323,527.03,362.43532390682,212.98,150.99,-30.652,130,1,3,9,5,4,0,527.03,342.333,836.20130647874,4
2749.901,312.933767646104,325.077,75.508,414.884,-18.371,111,1,2,14,7,0,0,0,0,0,5
2760.82,436.242,580.756,145.977,958.051,244.187,211,1,0,11,7,0,2,519.247,580.756,1.29349220281057,5
2772.12,126.940624883244,324.4885,81.348,393.039,49.263,125,1,2,15,8,0,0,0,0,0,5
2783.559,66.704,422.946,38.358,584.573,18.487,93,1,1,14,8,0,0,0,0,0,5
3175,339.43006035466,320.996,86.047,471.005,-68.256,130,1,2,17,9,0,0,0,0,0,6
3184.187,144.677818052834,321.0515,53.531,326.104,21.303,91,1,2,18,10,0,0,0,0,0,6
3191.333,64.2005,420.842,15.298,629.635,-5.821,57,1,1,15,10,0,0,0,0,0,6
3192.947,480.353,577.569,238.381,682.191,208.839,207,1,0,12,9,0,2,516.753,577.569,567.091207885661,6
3580.432,65.112,526.568,14.419,205.641,8.414,37,1,1,25,11,0,0,0,0,0,7
3584.837,131.631726821256,318.5445,20.092,285.121,31.574,43,1,2,27,11,0,0,0,0,0,7
3596.371,371.5,578.024,128.647,389.214,35.805,132,1,0,21,12,0,0,0,0,0,7
3596.805,294.442110065022,318.351,102.495,887.653,13.214,185,1,2,28,12,0,0,0,0,0,7
4001.927,463.554686568733,307.0835,36.439,282.252,-2.756,82,1,2,30,13,0,0,0,0,0,8
4013.429,102.267460428452,307.5675,93.815,845.001,140.353,177,1,2,31,14,3,0,46.486,307.5675,42.4044919562464,8
4014.063,58.4045,365.8,39.741,541.034,2.077,95,1,1,29,14,0,0,0,0,0,8
4016.62,515.323,450.808384938777,107.482,1207.293,-84.22,205,1,3,18,13,0,0,0,0,0,8
4439.833,335.238,577.733,23.459,236.186,41.285,42,1,0,31,15,0,0,0,0,0,9
4453.75,366.295075601616,316.8265,55.383,199.362,66.979,48,1,2,38,15,0,0,0,0,0,9
