"x","y","var_x","var_y","cov","n","labels","surface","idx","matching"
1090.434,514.861,78.892,698.782,35.673,122,1,0,1,1
1107.485,284.618,51.448,392.27,97.382,68,1,2,1,1
1107.726,151.655,40.804,470.47,-1.722,84,1,0,2,2
1117.8,390.867,21.936,337.436,23.927,45,1,2,2,2
1236.58,139.273,102.916,694.066,135.76,150,1,0,3,3
1254.957,402.47,73.831,428.006,-41.716,115,1,2,3,3
1578.279,586.218,171.697,580.272,-96.938,179,1,1,12,4
1579.254,418.712,27.71,230.347,21.161,59,1,2,9,4
1698.369,501.461,224.974,2060.37,-333.564,382,1,1,15,5
1702.711,484.651,243.132,708.122,-137.917,284,1,2,10,5
1733.116,226,97.203,317.183,26.408,121,1,2,11,6
1745.171,518.658,87.216,319.318,17.314,111,1,0,8,6
1836.984,211.921,128.931,830.252,2.967,191,1,0,9,7
1838.978,384.444,17.34,351.253,21.101,45,1,2,12,7
1848.807,578.614,29.48,311.206,10.228,57,1,1,18,0
2072.139,347.721,121.218,604.141,-38.766,165,1,0,11,8
2083.519,355.423,18.843,292.014,7.521,52,1,2,14,8
2092.76,421.078,164.653,561.59,-43.258,167,1,1,20,9
2096.189,500.5,49.368,327.174,-14.803,90,1,2,15,9
2210.333,312.121,19.104,120.985,4.521,33,1,0,13,0
2210.576,449.947,90.277,519.669,-113.824,132,1,1,21,0
2323.028,318.057,82.371,393.825,95.541,106,1,2,16,10
2325.278,603.904,100.185,310.087,-16.026,115,1,1,22,11
2327.902,408.307,141.392,755.312,68.852,225,1,0,14,10
2336.794,129.676,34.108,147.256,42.113,34,1,0,15,11
2537.735,171.012,75.747,879.2,93.215,166,1,2,17,12
2562.689,493.178,58.734,340.552,-48.27,90,1,3,12,12
2731.575,526.15,17.481,373.977,5.424,40,1,0,16,0
2768,434.406,131.414,1134.787,-226.712,192,1,3,15,13
2773.088,260.452,237.07,1075.23,291.942,272,1,2,18,13
3019.237,438.337,600.402,5014.666,-320.662,1117,1,0,17,0
3053.144,597.718,164.904,819.712,-182.318,188,1,1,23,0
3054.045,306.951,182.854,1048.407,236.511,223,1,2,19,0
3075.244,415.333,46.031,252.225,12.97,78,1,2,20,0
3664.568,241.045,84.728,799.576,133.175,155,1,2,26,14
3675.436,452.426,42.034,536.484,-39.381,94,1,3,23,14
3681.56,471.75,175.477,1050.31,-87.327,232,1,1,30,15
3690.917,491.867,190.85,983.736,-102.818,301,1,2,28,15
3698.578,519.585,235.932,1022.369,-224.231,289,1,0,23,0
3814.629,227.943,26.064,109.526,4.331,35,1,2,29,0
3824.945,361.218,45.164,357.877,86.716,55,1,2,30,16
3828.402,278.637,64.045,514.095,23.009,102,1,0,24,16
4007.34,537.794,92.912,588.35,-88.029,141,1,0,25,17
4010.704,262.352,62.267,506.585,69.769,108,1,2,31,17
4023.609,362.478,24.332,221.811,40.147,46,1,2,32,18
4033.431,184.069,47.46,372.995,47.942,72,1,0,26,18
4147.497,501.874,65.533,639.153,-44.571,143,1,2,33,19
4150.571,196.252,300.254,2242.672,245.284,485,1,0,27,20
4155.17,410.068,45.384,544.501,-16.621,88,1,1,34,19
4160.706,386.211,59.802,694.761,-104.113,109,1,2,34,20
4261.036,297.509,23.443,352.069,28.722,55,1,2,36,21
4265.976,470.832,149.577,1264.635,55.212,292,1,0,28,21
4490.788,225.9,37.638,381.838,32.308,80,1,0,34,0
