"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over"
1249.435,167.378,627.722,115.758,688.08,-84.16,193,1,0,2,1,0,0,0,0,0
1280.232,97.123,544.192,136.293,987.633,-230.67,177,1,1,1,1,0,1,97.123,627.411,0.946499276154668
1680.26,175.986,623.128,57.306,229.708,-19.482,73,1,0,11,2,0,0,0,0,0
1709.939,104.5855,416.443,60.042,867.218,-23.473,131,1,1,8,2,3,0,104.5855,380.258,107.735531715941
1979.8,248.14,617.617,32.939,250.286,36.11,50,1,0,13,3,0,0,0,0,0
1982.911,273.17262166706,385.5125,44.846,223.163,39.72,56,1,2,10,3,0,0,0,0,0
2043.104,241.822,618.274,44.44,1293.567,8.957,163,1,0,14,4,0,0,0,0,0
2067.434,279.022501562364,385.5245,267.465,1453.036,260.015,380,1,2,11,4,0,0,0,0,0
2262.649,355.342,622.695,77.168,385.094,60.369,114,1,0,16,5,0,0,0,0,0
2284.407,490.125427305962,385.496,122.538,1181.057,-173.04,177,1,2,12,5,0,4,543.736,385.496,133.358105251396
2355.093,445.198,623.994,39.497,440.655,57.723,86,1,0,17,6,0,0,0,0,0
2363.283,543.844,521.758756981756,20.822,321.309,2.866,53,1,3,31,6,0,0,0,0,0
2624.302,370.132,627.141,79.298,377.849,93.531,106,1,0,18,7,0,0,0,0,0
2633.966,504.843923157105,385.9295,114.645,709.819,-3.62,148,1,2,17,7,0,4,544.503,385.9295,224.770554049325
2637.821,145.375,627.294,139.461,701.139,6.185,240,1,0,19,8,1,0,97.312,627.294,181.172494584239
2668.743,106.7425,568.787,392.092,708.162,-86.382,343,1,1,14,8,0,1,106.7425,627.65,313.458564424727
3180.712,280.288,629.698,87.917,1747.261,-190.466,236,1,0,21,9,0,0,0,0,0
3211.343,294.91505202642,385.5465,80.479,2700.078,133.921,286,1,2,24,9,0,0,0,0,0
3288.673,521.308,628.421,48.505,459.536,40.555,107,1,0,22,10,0,2,545.374,628.421,119.671483153899
3297.574,545.374,598.844284826558,68.714,445.093,-13.739,108,1,3,40,10,0,2,545.374,628.327,143.192486045938
4254.809,197.978,623.268,50.747,387.84,-48.254,89,1,0,31,11,0,0,0,0,0
4258.145,97.2435,457.638,38.067,346.47,-44.594,69,1,1,31,11,0,0,0,0,0
4405.814,335.771,623.918,40.182,413.309,76.653,70,1,0,34,12,0,0,0,0,0
4408.46,341.998111246442,374.7545,111.27,607.214,117.344,150,1,2,38,12,0,0,0,0,0
