"x","y","var_x","var_y","cov","n","labels","surface","idx","matching"
1011.756,313.854,19.789,254.678,25.013,41,1,2,1,0
1070.919,520.081,54.217,385.04,83.43,86,1,2,2,0
1126.617,210.602,78.458,1193.081,55.032,201,1,2,3,1
1140.444,520.788,148.289,720.889,-156.707,198,1,3,4,1
1316.478,376.134,28.95,384.724,33.405,67,1,2,4,0
1462.605,297.616,54.218,560.098,78.917,86,1,2,7,0
1633.845,423.923,160.386,1269.499,198.585,284,1,2,8,2
1648.965,313.387,147.641,914.954,-17.008,230,1,0,13,2
1980.544,185.655,152.54,2621.338,64.697,447,1,2,9,3
1989.724,542.153,393.322,1471.926,-448.633,413,1,3,60,3
2274.406,370.719,19.991,140.144,15.57,32,1,2,10,0
2925.714,324.552,196.958,1976.719,154.401,426,1,2,11,4
2938.051,488.971,177.077,1799.138,-70.751,376,1,0,28,4
3021.955,428.122,308.232,1734.554,183.583,467,1,2,12,5
3042.407,292.032,232.131,1899.312,-124.038,435,1,0,29,5
3252.884,263.899,20.369,553.298,28.459,69,1,2,13,0
3560.193,535.684,67.909,64.541,-0.634,57,1,2,19,0
3743.43,391.992,182.98,204.608,-39.905,121,1,1,3,0
3797.901,289.595,116.419,1442.594,132.407,274,1,2,20,6
3798.462,512.906,47.078,712.534,24.527,117,1,0,38,6
4239.516,532.871,19.325,117.583,5.202,31,1,2,21,7
4243,468.806,9.333,217.095,0.133,31,1,1,4,7
4325.661,471.215,101.509,457.703,58.457,121,1,2,23,8
4334.789,191.099,98.139,553.792,-64.419,142,1,0,44,8
4414.233,409.826,45.098,392.522,15.523,86,1,1,8,0
