"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over"
1890.559,170.491143051663,345.076,255.192,2747.649,-11.59,619,1,2,5,1,3,0,50.241,345.076,68.6643914457341
1897.765,59.566,545.093,337.351,812.887,2.166,375,1,1,1,1,0,1,59.566,591.951,797.580477649184
1902.208,95.685,591.942,434.781,656.837,-109.602,365,1,0,4,1,1,0,68.832,591.942,2015.7561495225
2187.531,494.217,391.677838128083,401.009,1407.17,165.448,420,1,3,6,2,4,0,494.217,340.46,1243.43053064395
2370.285,418.659526411404,341.729,316.903,1466.398,145.203,442,1,2,7,2,0,4,489.06,341.729,473.641740943616
2373.819,398.74,588.576,386.622,2502.908,101.026,647,1,0,5,2,0,2,488.953,588.576,488.974601431318
2485.71,485.457,399.937016988123,357.12,1676.612,152.267,465,1,3,9,3,4,0,485.457,337.364,735.596529515872
2688.601,402.711799937882,336.363,186.405,1587.071,154.992,366,1,2,9,3,0,4,478.843,336.363,175.966352996249
2693.539,379.679,583.314,633.873,2472.788,45.895,889,1,0,6,3,0,2,478.681,583.314,687.643132899967
3526.847,111.126493638344,337.4975,497.874,5108.505,175.596,1032,1,2,14,4,3,0,1.472,337.4975,713.370711608241
3535.758,16.4625,511.358,292.694,2408.071,-58.205,491,1,1,17,4,0,1,16.4625,584.41,496.331850656511
3545.368,111.629,584.48,563.079,4626.098,467.38,958,1,0,16,4,1,0,31.645,584.48,1290.69975510734
4038.097,246.74641482349,339.487,567.982,4917.136,-147.645,1079,1,2,16,5,0,4,429.33,339.487,22.795628338336
4052.785,207.019,586.026,1017.537,6283.425,153.317,1726,1,0,20,5,1,0,12.867,586.026,188.279974588978
