"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","segments"
1206.731,491.265,609.114,190.6,1201.081,-58.074,324,1,0,6,1,0,2,548.763,609.114,275.144921591501,1
1214.72,423.053825618244,375.504,87.807,359.292,63.612,107,1,2,3,1,0,0,0,0,0,1
1224.317,115.328,534.599,392.97,3374.595,-400.075,694,1,1,3,2,3,1,115.328,609.423,650.987724030017,1
1245.049,170.051598419555,376.0375,232.233,1578.948,23.907,431,1,2,5,2,3,0,111.753,376.0375,453.648333258808,1
1666.236,526.578259007979,381.5705,70.452,378.09,8.435,127,1,2,10,3,0,4,544.43,381.5705,306.542660521099,2
1673.795,544.346,393.163300677169,159.176,81.306,7.232,88,1,3,15,3,4,0,544.346,380.824,800.674506701664,2
1698.825,223.875,615.339,355.975,1968.638,-266.311,520,1,0,15,4,1,0,115.483,615.339,43.4435542732749,2
1706.246,305.096169158823,381.918,161.329,667.28,186.051,183,1,2,11,4,0,0,0,0,0,2
1727.542,143.645945764786,382.0885,88.99,493.036,-11.664,155,1,2,12,5,3,0,112.135,382.0885,192.069186471873,2
1733.897,113.728,399.828,158.722,207.679,-122.216,87,1,1,16,5,3,0,113.728,382.827,163.100167874954,2
2254.831,146.530970670234,385.009,93,603.768,-34.732,178,1,2,13,6,3,0,112.945,385.009,181.087241177679,3
2266.4,113.211,392.175,48.144,51.687,-11.2,40,1,1,22,6,3,0,113.211,385.605,291.11037552535,3
2292.847,504.948649214464,385.445,84.13,604.069,57.962,170,1,2,14,7,0,4,543.728,385.445,142.635124594718,3
2299.426,543.79,413.168341526982,214.144,341.83,15.952,197,1,3,18,7,4,0,543.79,385.04,876.959363306507,3
2361.119,132.157794070706,386.2915,28.652,262.917,-2.452,67,1,2,15,8,3,0,113.658,386.2915,74.2573061564167,3
2363.365,113.1115,391.712,67.06,61.347,5.107,52,1,1,23,8,3,0,113.1115,386.817,546.827644883765,3
2593.494,441.227350735397,389.7765,59.853,390.055,75.257,81,1,2,18,9,0,0,0,0,0,4
2603.683,523.049,624.048,31.572,223.748,-0.509,41,1,0,21,9,0,2,545.475,624.048,57.6613363812565,4
2671.562,290.692835966314,391.189,54.831,452.306,76.915,80,1,2,19,10,0,0,0,0,0,4
2675.812,231.847,625.483,56.059,323.417,45.757,85,1,0,22,10,0,0,0,0,0,4
2912.806,495.083,631.638,158.481,903.521,-131.377,217,1,0,23,11,0,2,544.92,631.638,199.74467426239,5
2915.703,456.621185104796,397.0135,189.934,438.16,128.444,182,1,2,20,11,0,0,0,0,0,5
2947.694,177.204,632.868,136.711,1816.706,-143.644,314,1,0,24,12,1,0,102.873,632.868,94.4015671578363,5
2952.657,293.804901646456,398.222,110.024,979.28,153.647,198,1,2,21,12,0,0,0,0,0,5
3547.713,307.361,626.384,163.424,1406.063,-94.521,321,1,0,35,13,0,0,0,0,0,6
3555.603,325.962892244407,392.359,158.442,1049.086,214.973,229,1,2,29,13,0,0,0,0,0,6
3606.409,145.663507950647,392.3325,59.51,504.194,50.826,110,1,2,30,14,3,0,116.351,392.3325,111.376351971159,6
3612.971,113.959,414.951,155.474,159.116,-73.675,102,1,1,42,14,3,0,113.959,394.021,206.017928237829,6
3617.451,435.45257728075,392.336,71.737,549.847,84.69,122,1,2,31,15,0,0,0,0,0,6
3626.918,504.959,626.272,62.522,694.535,-7.698,122,1,0,37,15,0,2,551.411,626.272,61.2941265722328,6
3914.023,406.893845628929,393.6245,81.811,454.297,131.601,86,1,2,32,16,0,0,0,0,0,7
3922.529,439.02,627.301,33.094,186.22,10.509,51,1,0,45,16,0,0,0,0,0,7
4287.613,114.9815,575.872,264.033,1076.567,-235.764,313,1,1,48,17,0,1,114.9815,625.907,341.88937866105,8
4294.855,193.459625181158,392.1485,130.185,1608.96,117.792,297,1,2,33,17,3,0,116.292,392.1485,78.8831928333616,8
4346.034,147.630857322235,391.873,60.361,652.523,83.756,117,1,2,34,18,3,0,116.21,391.873,90.5465275748661,8
4358.423,114.864,401.099,55.305,174.804,-6.642,71,1,1,51,18,3,0,114.864,394.201,399.752230694416,8
