"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over"
1729.82,365.815644741503,368.462,31.13,144.77,30.21,44,1,2,1,1,0,0,0,0,0
1740.19,388.29,494.904,20.36,170.15,25.41,31,1,0,1,1,0,0,0,0,0
2195.17,450.416102836199,363.701,55.01,152.51,10.7,75,1,2,2,2,0,4,470.813,363.701,135.781029706861
2220.36,470.816,383.305179582208,83.79,287.17,-1.35,128,1,3,1,2,4,0,470.816,360.885,260.459697619761
2280.7,412.081892160982,363.3095,26.44,88.11,17.96,37,1,2,4,3,0,0,0,0,0
2313.48,470.841,471.806754036663,34.04,169.01,22.33,48,1,3,2,3,0,2,470.841,485.491,123.714495843855
2863.89,222.749780575663,361.5405,8.88,56.7,-6.27,19,1,2,10,4,3,0,209.522,361.5405,7.64813397901656
2876.33,208.0235,439.92,11.59,436.08,5.34,61,1,1,2,4,0,1,208.0235,484.802,2.70660695019254
2936.91,305.427137830597,361.156,33.77,110.31,14.13,46,1,2,11,5,0,0,0,0,0
2947.91,320.09,484.758,40.9,81.9,25.84,43,1,0,4,5,0,0,0,0,0
4171.39,241.087446713163,357.9115,91.65,203.12,57.35,89,1,2,21,8,3,0,213.613,357.9115,135.001869503235
4179.09,215.68,483.102,10.09,94.51,2.74,22,1,0,12,8,1,0,212.326,483.102,75.0099623241619
4179.34,213.0205,476.1,25.59,49.45,5.68,29,1,1,10,8,0,1,213.0205,483.102,195.944105167864
4260.35,353.468806243179,357.4785,38.02,93.72,15.31,48,1,2,22,9,0,0,0,0,0
4271.24,409.17,482.729,35.89,93.17,16.13,42,1,0,13,9,0,0,0,0,0
4454.09,362.246481580795,356.911,71.17,124.26,46.32,69,1,2,24,10,0,0,0,0,0
4456.34,414.32,482.337,37.43,146.7,13.56,59,1,0,14,10,0,0,0,0,0
