"x","y","var_x","var_y","cov","n","labels","surface","idx","matching"
1713.028,451.807,85.62,344.231,37.959,109,1,2,1,1
1722.946,487.892,29.997,86.71,-15.423,37,1,3,1,0
1732.83,386.736,53.067,141.39,13.877,53,1,1,1,1
1812.057,400.171,12.585,197.852,4.372,35,1,0,2,0
1818.794,399.574,91.942,659.12,141.778,136,1,2,2,2
1847.935,462.214,97.917,572.575,-26.868,154,1,1,2,2
1848.255,254.685,136.486,417.561,22.972,184,1,2,4,3
1874.942,463.837,73.298,298.759,-22.854,104,1,3,2,3
1903.442,343.923,24.683,202.19,28.721,52,1,2,5,4
1909.025,352.98,138.641,536.293,-52.646,199,1,0,3,4
1939.95,430.911,118.618,1187.545,224.504,180,1,2,7,5
1989.537,392.565,89.933,305.22,41.694,108,1,1,4,5
2249.731,482.654,16.125,83.835,5.023,26,1,1,9,0
2351,417.5,12,51.467,-7.2,16,1,3,6,0
2367.804,408.271,69.952,335.407,42.148,107,1,2,11,0
2403.263,301.355,82.436,271.139,97.172,76,1,2,12,6
2419.545,408.182,16.533,219.966,4.085,44,1,0,14,6
2471.81,440.854,69.174,484.52,-12.964,158,1,2,13,7
2498.911,324.071,43.174,153.558,26.061,56,1,2,16,0
2509.626,339.44,107.683,543.375,2.9,182,1,0,15,7
2593.429,481.381,9.757,106.448,-11.871,21,1,1,15,0
2766.833,285.125,13.536,86.201,7.848,24,1,2,18,8
2775.531,458.469,41.171,150.546,0.017,49,1,0,21,8
2823.372,410.14,107.352,290.438,39.381,121,1,2,19,0
2883.967,298.77,48.099,231.68,27.209,61,1,2,20,0
2953.268,357.592,65.599,317.331,99.768,71,1,2,21,0
2995.01,290.429,68.856,445.485,113.934,98,1,2,22,9
3016.335,426.323,107.999,822.62,-47.847,161,1,0,29,9
3062.412,423.939,327.881,1050.611,234.877,427,1,2,23,10
3092.624,409.027,320.41,550.262,-4.892,298,1,1,29,10
3346.377,229.5,85.759,263.491,29.155,114,1,2,27,11
3353.795,476.133,76.848,167.214,-20.643,83,1,3,10,11
3388.579,478.526,4.48,119.596,3.012,19,1,1,40,0
3453.173,338.029,142.611,722.417,249.937,104,1,2,28,12
3460.977,474.727,29.744,160.249,-7.402,44,1,1,42,0
3477.96,317.76,16.707,71.107,-15.468,25,1,0,47,12
3521.257,244.175,180.143,390.721,38.091,206,1,2,30,13
3539.335,427.54,94.464,638.536,41.915,176,1,3,11,13
3546.492,423.88,199.206,768.422,44.698,317,1,2,31,0
3593.324,320.915,67.879,249.964,80.085,71,1,2,32,14
3611.91,326.394,128.146,705.876,49.199,221,1,0,50,14
3880.957,465,30.134,18.909,9.455,23,1,0,55,0
3886.421,479.553,22.575,109.876,14.085,38,1,1,50,0
3904.762,483.571,16.99,84.957,-18.907,21,1,1,51,0
3946.143,306,70.914,623.632,144.447,77,1,2,34,15
3959.269,479.481,70.279,118.372,4.397,52,1,1,52,0
3964.69,419.172,27.293,56.219,-4.587,29,1,0,57,15
3989.812,227.375,4.963,211.717,-10.058,16,1,2,35,0
4000.797,471.102,46.579,147.369,0.797,59,1,1,53,0
4024.958,478.5,12.737,106.87,-1.63,24,1,1,54,0
4045.833,472.729,50.057,136.755,-0.238,48,1,1,55,0
4053.314,273.829,45.001,248.84,37.504,70,1,2,36,0
4068.725,398.391,77.719,412.619,33.992,138,1,2,37,0
4077.741,383.704,54.794,188.836,-19.778,81,1,3,14,0
4093.435,439.087,17.257,68.901,-14.221,23,1,1,56,0
4100.64,418.86,57.763,248.78,-30.698,86,1,1,57,0
4107.412,215.485,83.768,88.761,-6.039,68,1,2,38,0
4118.333,483.667,10.118,79.294,12.235,18,1,1,58,0
4135.647,479.529,44.235,67.529,8.465,34,1,1,59,0
4180.723,358.4,218.271,631.87,-71.499,260,1,0,62,16
4192.58,403.578,410.872,1762.65,615.54,479,1,2,40,16
4240.109,424.43,358.978,1204.36,46.51,405,1,1,60,16
4277.844,454.444,9.816,504.934,20.253,45,1,1,61,0
4289.739,464.783,5.111,292.087,-2.741,23,1,1,62,0
4307.899,472.71,52.916,258.503,1,69,1,1,63,0
4353.426,467.835,122.51,341.718,-0.069,115,1,1,64,0
4402.559,473.356,73.94,284.613,17.711,59,1,1,65,0
4455.608,467.138,199.837,253.593,-6.294,130,1,1,66,0
4456.32,293.88,23.893,170.777,21.207,25,1,2,43,17
4465.71,428.065,26.613,91.796,-3.047,31,1,0,71,17
4487.885,476.962,13.066,148.598,14.595,26,1,1,67,0
