surface,x,y,var_x,var_y,cov,n,idx,z,boundary_axis_idx1,boundary_axis_idx2,yaxis,zaxis,area_over,matching
0,4.972375691,4.836483393,0.40795458,0.010127872,0.000264318,33,35,0,0,0,0,0,0,1
1,9.542684013,5.5,1.224597732,0.006037826,0.000296494,93,39,1.505698281,0,1,5.5,1.5,14.14688574,1
0,10.0441989,2.531149771,0.479404252,0.030317403,-0.000119466,60,34,0,0,0,0,0,0,2
3,10.50510861,0,12.45834491,0.049678575,0.018458297,876,23,0.754248353,0,0,0,0,0,2
2,10.62752536,5.375173106,1.079156526,0.017713084,-0.004853913,67,21,1.5,0,4,5.5,1.5,10.34599552,2
0,12.13259669,5.443442153,0.40795458,0.009206146,-0.001615275,33,33,0,0,2,5.5,0,4.313032375,3
2,13.52486188,1.495489691,0.41443005,0.004111785,-0.000716035,22,20,1.5,0,0,0,0,0,3
0,19.59116022,2.045017182,0.479404252,0.030002796,-0.000143359,60,32,0,0,0,0,0,0,5
2,22.07734807,5.079896907,0.40795458,0.010308344,0.00020558,33,18,1.5,0,0,0,0,0,5
0,28.24309392,3.137886598,0.40795458,0.010164618,8.81e-05,33,30,0,0,0,0,0,0,7
2,30.03314917,1.924828179,0.40795458,0.010060597,-0.000176212,33,17,1.5,0,0,0,0,0,7
3,30.43093923,0,0.960724206,0.006079754,0.000127606,85,15,1.502782671,0,2,0,1.5,11.11699436,8
0,34.80662983,1.92196449,0.40795458,0.010130663,0.000558004,33,28,0,0,0,0,0,0,8
2,35.00007568,4.713952831,0.768078316,0.030544035,0.000578075,73,16,1.5,0,0,0,0,0,8
1,35.10497238,5.5,1.901641539,0.042026648,-0.000244133,312,23,0.849531706,0,0,0,0,0,9
0,35.40331492,5.264175257,0.404792142,0.019450811,-0.000590105,44,27,0,0,2,5.5,0,2.309629964,9
2,51.91160221,4.469215349,0.40795458,0.010127999,2.94e-05,33,14,1.5,0,0,0,0,0,12
0,52.50828729,3.622279496,0.40795458,0.009914249,5.87e-05,33,23,0,0,0,0,0,0,12
0,54.49723757,1.553224334,0.421114405,0.010012664,6.06e-05,32,22,0,0,0,0,0,0,13
3,55.09392265,0,0.41443005,0.000785039,0.000141784,22,10,1.584921067,0,0,0,0,0,13
1,57.97790055,5.5,0.647039073,0.030050692,-0.000233527,154,15,0.850766,0,0,0,0,0,14
0,58.17679558,5.019156882,0.478053818,0.044658215,-9.93e-05,72,20,0,0,2,5.5,0,0.958449555,14
0,59.0718232,4.347369813,0.56248283,0.02969268,0,65,19,0,0,0,0,0,0,15
2,60.26519337,3.257588774,0.40795458,0.009716229,8.81e-05,33,13,1.5,0,0,0,0,0,15
0,60.66298343,2.59237598,0.561021836,0.043475067,-9.76e-05,78,18,0,0,0,0,0,0,16
3,61.93179652,0,3.104252476,0.048361377,-0.027517945,435,9,0.761590612,0,0,0,0,0,16
0,63.84701848,5.077308476,0.563114103,0.101816082,0.000502234,116,17,0,0,2,5.5,0,3.725208392,17
1,63.84831743,5.5,0.554428631,0.005160464,0.000100707,66,13,0.52696879,0,0,0,0,0,17
2,67.82320442,2.41093929,0.40795458,0.010165548,-0.000323055,33,11,1.5,0,0,0,0,0,19
0,68.4198895,3.500286369,0.40795458,0.010380059,-0.000352424,33,15,0,0,0,0,0,0,19
0,76.57458564,4.345933563,0.40795458,0.010094383,-0.000352424,33,13,0,0,0,0,0,0,20
1,79.16022099,5.5,0.40795458,0.002055408,0.000372184,33,9,0.521275631,0,0,0,0,0,20
3,80.75138122,0,0.40795458,0.002076723,0.000130264,33,6,0.954999093,0,0,0,0,0,21
2,81.00678051,4.479864691,0.700197373,0.064122574,0.005794795,88,9,1.5,0,0,0,0,0,22
0,81.92550347,3.015519344,0.428175515,0.010477677,-0.001892729,31,12,0,0,0,0,0,0,22
0,82.14364641,1.554123711,0.40795458,0.010432535,-0.001174745,33,11,0,0,0,0,0,0,21
2,82.54143646,2.594552682,0.763902411,0.018873303,0.000405085,59,8,1.5,0,0,0,0,0,23
0,83.13812155,3.382302405,0.40795458,0.009845198,-0.000176212,33,10,0,0,0,0,0,0,23
2,87.1160221,4.592090492,0.748417903,0.030023442,0.000241299,75,7,1.5,0,0,0,0,0,24
0,87.31491713,2.898052692,0.40795458,0.01009248,-0.000146843,33,9,0,0,0,0,0,0,24
1,87.31491713,5.5,0.40795458,0.002117635,0.00012096,33,6,0.90482671,0,0,0,0,0,25
0,87.71270718,4.103808706,0.40795458,0.010095905,-0.000558004,33,8,0,0,0,0,0,0,25
3,88.30939227,0,0.958821782,0.008872495,-3.83e-05,102,5,1.418325115,0,2,0,1.5,9.577837629,26
2,92.08839779,4.713917526,0.40795458,0.010131762,-0.000528635,33,6,1.5,0,0,0,0,0,26
0,93.77900552,3.139130513,0.858519503,0.009720541,-0.000469898,48,7,0,0,0,0,0,0,26
1,97.75789071,5.5,0.630276485,0.011735597,0.000412483,101,4,0.573249541,0,0,0,0,0,27
0,97.96041125,4.947008487,0.657650837,0.149782831,0.002146594,151,6,0,0,2,5.5,0,3.876294594,27
0,104.6187845,3.258018328,0.40795458,0.009740077,5.87e-05,33,5,0,0,0,0,0,0,29
2,104.6187845,3.196429751,0.564688645,0.018667957,0.000276411,52,4,1.5,0,0,0,0,0,29
3,104.6187845,0,0.741972198,0.04909662,0.000279227,210,3,0.981572569,0,2,0,1.5,1.337348407,30
0,104.718232,2.167705484,0.649464711,0.060035927,-0.000373012,98,4,0,0,0,0,0,0,30
0,112.4751381,1.55704706,0.484883158,0.010560387,-0.00030879,36,3,0,0,0,0,0,0,31
3,112.7734807,0,0.41443005,0.000841326,0.000170141,22,2,1.583968427,0,0,0,0,0,31
1,117.8453039,5.5,0.479404252,0.006119432,0.001317152,60,2,0.9,0,0,0,0,0,32
2,123.7127072,3.137646048,0.748417903,0.029163419,0.000952496,75,3,1.5,0,0,0,0,0,32
0,129.281768,2.410080183,0.40795458,0.010275658,-0.000293686,33,2,0,0,0,0,0,0,33
2,129.3812155,5.018772501,0.65058255,0.043967745,-0.000232118,84,2,1.5,0,4,5.5,1.5,1.327947436,33
0,133.359116,4.164277277,0.481444271,0.018720153,-0.000189959,48,1,0,0,0,0,0,0,34
2,133.4585635,2.16709622,0.40795458,0.009986641,0,33,1,1.5,0,0,0,0,0,34
