"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","segments"
209.060911972442,162.733262367719,150,40.5311747526373,30.798413346038,-1.63922107550692,0,1,0,17,19,0,0,0,0,0,1
295.016889259103,148.645177537496,0,89.6368377941031,68.1123203940899,-3.62523458121927,0,1,2,16,19,0,0,0,0,0,1
477.81600787324,122.792361949525,150,14.8187670644616,13.5947115223204,0.167103889843436,0,1,0,21,23,0,0,0,0,0,2
523.328337194935,128.894120307471,0,44.8274962686271,41.1247067547216,0.505511881842675,0,1,2,20,23,0,0,0,0,0,2
986.772332076724,66.6454572147249,150,41.988756738776,39.6983041795096,7.50608350139153,0,1,0,22,24,0,0,0,0,0,3
1063.79421298747,132.807170084774,0,100.736640547646,95.2415409558698,18.0080990785137,0,1,2,21,24,0,0,0,0,0,3
1166.07745337598,205.384873269483,150,1.4737105006966,1.73163184858931,-0.0319682871933586,0,1,0,18,20,0,0,0,0,0,4
1173.81148870701,142.045273870899,0,8.19405049298916,9.62821855542822,-0.177760690419736,0,1,2,17,20,0,0,0,0,0,4
1346.41770316425,40.6925915964712,150,33.2402154939662,32.1051824333866,3.25849089111995,0,1,0,4,6,0,0,0,0,0,5
1362.55543875413,300,185.899985839304,349.34120146411,1077.57438124469,-471.559194295782,0,1,3,5,21,0,2,300,150,109.760159105711,5
1379.47042433247,292.224350475404,150,131.508572600875,119.193311128398,-18.4672935163156,0,1,0,19,21,0,2,300,150,976.955797426269,5
1400.98762745007,86.5797845009329,0,6.63328497430562,6.40678007222533,0.650250968594651,0,1,2,6,6,0,0,0,0,0,5
1453.36316551795,238.970337313095,0,67.8071797769619,61.4573467218046,-9.52196385837305,0,1,2,18,21,0,0,0,0,0,5
1863.63876521571,300,154.381668970768,352.47819939323,2130.56821062696,-806.413162743378,0,1,3,1,2,0,2,300,150,386.933750047891,6
1865.04188849991,304.60627977333,150,50.5604968179976,44.9404645857029,-2.49103904826533,0,1,0,1,2,0,2,300,150,407.942195657388,6
1923.03611453384,282.601567839565,0,21.6989529974527,19.2870054639805,-1.06907068703799,0,1,2,2,2,0,0,0,0,0,6
2199.08062167046,101.678756183347,150,27.7813132510489,27.7909699977853,-0.38175697655948,0,1,0,9,11,0,0,0,0,0,7
2216.68126665541,83.8547818840383,0,13.3369939016529,13.3416193141621,-0.183272309588086,0,1,2,10,11,0,0,0,0,0,7
2297.34535475169,116.108952618959,150,26.2458822040694,20.9066639262847,-1.82430988500021,0,1,0,8,10,0,0,0,0,0,7
2378.19728019362,91.1219475568076,0,8.50523348327286,6.77501579439078,-0.591179958623664,0,1,2,9,10,0,0,0,0,0,7
2484.06676502937,300,169.877774816825,137.208973696982,365.059528634853,-121.856173733136,0,1,3,3,12,0,2,300,150,239.193467381729,8
2492.16481853571,292.036987401353,150,93.3750414023905,102.391188240872,-18.8103453585357,0,1,0,10,12,0,2,300,150,613.997996084501,8
2557.43977156682,209.269787145933,0,43.6827399667243,47.9007128925589,-8.79988826824944,0,1,2,11,12,0,0,0,0,0,8
2650.91771136351,142.985592221086,150,34.0275493736499,30.7583634264765,1.43161573812206,0,1,0,14,16,0,0,0,0,0,8
2651.72017467233,225.061486158824,150,38.4434807373631,35.0363516091767,5.3785810313954,0,1,0,7,9,0,0,0,0,0,8
2704.20601128403,163.022037054225,0,11.6446114221018,10.5258834431919,0.48991636503334,0,1,2,15,16,0,0,0,0,0,8
2724.71774409373,278.512500566577,0,87.5440438983606,79.7851962434433,12.2481153176289,0,1,2,8,9,0,4,300,0,47.9025794771528,8
2759.2995410663,300,-72.4235697716314,271.656429956143,849.680335266599,-367.017009462846,0,1,3,2,9,4,0,300,0,7.22906471719011,8
2881.5995498763,112.430290352391,150,21.5114049413317,20.1311932867741,0.771459935948323,0,1,0,6,8,0,0,0,0,0,9
2882.69745151031,0,29.7008924425113,24.6397075280375,112.567799109687,33.0631863990557,0,1,1,4,18,0,0,0,0,0,9
2922.81435806518,43.6180685813978,150,3.30896751677773,3.39181713225607,0.371927897884003,0,1,0,16,18,0,0,0,0,0,9
2925.9192481713,132.248716088497,0,6.8541152927744,6.41433642240606,0.245813204349274,0,1,2,7,8,0,0,0,0,0,9
3421.33600503908,113.07003564732,150,6.58451868052982,7.94291440767927,-0.10865556022695,0,1,0,20,22,0,0,0,0,0,10
3426.778234511,44.595326399737,0,27.9237547933785,33.6845105323925,-0.460764081058391,0,1,2,19,22,0,0,0,0,0,10
3699.82305921302,86.0348707464698,150,6.99315847736317,6.9536067456842,-0.301723799528173,0,1,0,13,15,0,0,0,0,0,11
3732.81266834897,55.1361429352408,0,24.4022705384527,24.2642876237275,-1.05285377085351,0,1,2,14,15,0,0,0,0,0,11
3845.76913903844,32.0409933782193,0,29.6356326661669,28.3825451391777,3.11700226551327,0,1,2,3,3,0,0,0,0,0,12
3903.38749407166,79.2300335663684,150,10.4924508881132,10.0487842688034,1.10356882295764,0,1,0,2,3,0,0,0,0,0,12
4052.78904396232,201.674775828035,150,17.9753315717173,16.8916443100264,-1.38379511419748,0,1,0,3,4,0,0,0,0,0,13
4106.30260148617,165.159104906186,0,6.30813231309746,5.92783933148347,-0.485620660712089,0,1,2,4,4,0,0,0,0,0,13
4380.19290111397,127.087749159752,150,15.282112970128,13.6022717913135,1.20623909557187,0,1,0,11,13,0,0,0,0,0,14
4443.52626868963,160.162397158909,0,3.27476375411248,2.91478712443849,0.258474364301299,0,1,2,12,13,0,0,0,0,0,14
4471.63435137933,237.75662928023,150,35.5571642088464,32.2021215650026,-1.68497557141474,0,1,0,12,14,0,0,0,0,0,14
4525.51124934961,215.370109210886,0,75.8471997253016,68.6905198423865,-3.59423450409149,0,1,2,13,14,0,0,0,0,0,14
