surface,x,y,var_x,var_y,cov,n,idx,z,boundary_axis_idx1,boundary_axis_idx2,yaxis,zaxis,area_over,matching
3,3.082872928,0,0.481444271,0.003802513,0.000516306,48,66,1.530407934,0,2,0,1.5,5.28294712,1
2,3.38121547,3.680841924,0.564688645,0.018547578,-0.000460684,52,38,1.5,0,0,0,0,0,1
1,13.44198895,5.5,0.871134957,0.01104021,-0.002067069,108,69,0.575155245,0,0,0,0,0,3
0,13.52486188,4.530017233,1.190257245,0.400575397,7.72e-05,342,38,0,0,2,5.5,0,5.893207991,3
3,20.28729282,0,0.40795458,0.002057097,-0.000446621,33,62,0.897250953,0,0,0,0,0,5
0,21.87845304,3.258304697,0.40795458,0.01006787,-0.000117475,33,36,0,0,0,0,0,0,5
3,26.95141062,0,1.60407272,0.035950295,0.000120514,263,59,1.200553266,0,2,0,1.5,10.76431797,8
0,33.41436464,3.194067208,0.564688645,0.018634686,-0.000663385,52,33,0,0,0,0,0,0,8
3,39.0388139,0,1.639754567,0.0111866,0.00518101,158,56,0.571553096,0,0,0,0,0,9
0,41.56906077,4.95749607,0.965650997,0.061036643,-0.000232941,118,32,0,0,2,5.5,0,2.564778473,9
0,51.71270718,2.045246277,0.40795458,0.010312192,0,33,28,0,0,0,0,0,0,11
2,55.09392265,3.741552119,0.40795458,0.009745659,-0.00020558,33,23,1.5,0,0,0,0,0,11
3,56.08890778,0,1.749453385,0.072295641,-0.0004461,390,46,1.174881007,0,2,0,1.5,14.32099751,11
2,72.29834254,4.710123138,0.479404252,0.029931174,-0.000557506,60,19,1.5,0,0,0,0,0,14
3,73.29360073,0,0.853897964,0.015880916,-0.0008588,127,40,1.418937715,0,2,0,1.5,8.953674836,14
0,75.38121547,1.555412371,0.40795458,0.010647554,-0.000469898,33,19,0,0,0,0,0,0,14
3,86.91712707,0,0.743394964,0.024826415,-6.19e-05,150,34,0.927824351,0,0,0,0,0,18
2,88.70718232,4.465922108,0.40795458,0.010062415,0.00085169,33,13,1.5,0,0,0,0,0,18
2,99.39995196,5.331334978,1.090591135,0.033324164,0.015880444,92,8,1.5,0,4,5.5,1.5,10.28939578,21
3,102.7454084,0,1.059977978,0.003085122,-0.001434224,74,24,0.492049684,0,0,0,0,0,21
1,114.7624309,5.5,0.40795458,0.002129184,-0.000214006,33,27,1.555434585,0,1,5.5,1.5,3.636133632,23
2,118.2455195,3.008957757,0.674726121,0.009784806,-0.000256152,41,4,1.5,0,0,0,0,0,23
2,130.4751381,4.102376861,0.40795458,0.010165168,0.000234949,33,1,1.5,0,0,0,0,0,26
0,134.4530387,4.044279783,0.271263305,0.018704929,-0.000107405,36,1,0,0,0,0,0,0,26
